"DATE","REGION","AGEGROUP","Female","Male","All"
2020-08-24,"Brussels","0-9",3.57142857142857,3.85714285714286,7.42857142857143
2020-08-24,"Brussels","10-19",8.57142857142857,8.71428571428571,17.2857142857143
2020-08-24,"Brussels","20-29",16.7142857142857,13,29.7142857142857
2020-08-24,"Brussels","30-39",12.4285714285714,13.1428571428571,25.5714285714286
2020-08-24,"Brussels","40-49",8.71428571428571,10.4285714285714,19.1428571428571
2020-08-24,"Brussels","50-59",8,9,17
2020-08-24,"Brussels","60-69",3.57142857142857,3.42857142857143,7
2020-08-24,"Brussels","70-79",2.42857142857143,2.28571428571429,4.71428571428571
2020-08-24,"Brussels","80-89",1.57142857142857,1,2.57142857142857
2020-08-24,"Brussels","90+",2.14285714285714,0.571428571428571,2.71428571428571
2020-08-24,"Flanders","0-9",7.85714285714286,5.71428571428571,13.5714285714286
2020-08-24,"Flanders","10-19",16.5714285714286,15.1428571428571,31.7142857142857
2020-08-24,"Flanders","20-29",22.4285714285714,20.5714285714286,43
2020-08-24,"Flanders","30-39",24.8571428571429,22.4285714285714,47.2857142857143
2020-08-24,"Flanders","40-49",19.4285714285714,20,39.4285714285714
2020-08-24,"Flanders","50-59",9.57142857142857,14.5714285714286,24.1428571428571
2020-08-24,"Flanders","60-69",6.28571428571429,6.42857142857143,12.7142857142857
2020-08-24,"Flanders","70-79",2.71428571428571,3.42857142857143,6.14285714285714
2020-08-24,"Flanders","80-89",2.85714285714286,1.28571428571429,4.14285714285714
2020-08-24,"Flanders","90+",2.42857142857143,0,2.42857142857143
2020-08-24,"Wallonia","0-9",2.28571428571429,3,5.28571428571429
2020-08-24,"Wallonia","10-19",7.42857142857143,7.28571428571429,14.7142857142857
2020-08-24,"Wallonia","20-29",12.5714285714286,14.8571428571429,27.4285714285714
2020-08-24,"Wallonia","30-39",10.2857142857143,9.28571428571429,19.5714285714286
2020-08-24,"Wallonia","40-49",8.14285714285714,8.42857142857143,16.5714285714286
2020-08-24,"Wallonia","50-59",5,8.28571428571429,13.2857142857143
2020-08-24,"Wallonia","60-69",3.57142857142857,3.57142857142857,7.14285714285714
2020-08-24,"Wallonia","70-79",2.14285714285714,1,3.14285714285714
2020-08-24,"Wallonia","80-89",2.28571428571429,0.142857142857143,2.42857142857143
2020-08-25,"Brussels","0-9",4,4.14285714285714,8.14285714285714
2020-08-25,"Brussels","10-19",8.28571428571429,9.57142857142857,17.8571428571429
2020-08-25,"Brussels","20-29",12.1428571428571,13.8571428571429,26
2020-08-25,"Brussels","30-39",12.8571428571429,12.4285714285714,25.2857142857143
2020-08-25,"Brussels","40-49",9.71428571428571,8.71428571428571,18.4285714285714
2020-08-25,"Brussels","50-59",6.85714285714286,7.71428571428571,14.5714285714286
2020-08-25,"Brussels","60-69",3.28571428571429,3.28571428571429,6.57142857142857
2020-08-25,"Brussels","70-79",1.85714285714286,2.14285714285714,4
2020-08-25,"Brussels","90+",1.85714285714286,0.571428571428571,2.42857142857143
2020-08-25,"Flanders","0-9",6.85714285714286,6.14285714285714,13
2020-08-25,"Flanders","10-19",16,15,31
2020-08-25,"Flanders","20-29",21.4285714285714,19.8571428571429,41.2857142857143
2020-08-25,"Flanders","30-39",23.4285714285714,23.4285714285714,46.8571428571429
2020-08-25,"Flanders","40-49",18.7142857142857,19.8571428571429,38.5714285714286
